riscv64-linux-gnu-gcc -Wall -Werror -O -fno-omit-frame-pointer -ggdb -gdwarf-2 -MD -mcmodel=medany -ffreestanding -fno-common -nostdlib -mno-relax -I. -fno-stack-protector -D MLFQ -fno-pie -no-pie   -c -o kernel/proc.o kernel/proc.c
riscv64-linux-gnu-ld -z max-page-size=4096 -T kernel/kernel.ld -o kernel/kernel kernel/entry.o kernel/start.o kernel/console.o kernel/printf.o kernel/uart.o kernel/kalloc.o kernel/spinlock.o kernel/string.o kernel/main.o kernel/vm.o kernel/proc.o kernel/swtch.o kernel/trampoline.o kernel/trap.o kernel/syscall.o kernel/sysproc.o kernel/bio.o kernel/fs.o kernel/log.o kernel/sleeplock.o kernel/file.o kernel/pipe.o kernel/exec.o kernel/sysfile.o kernel/kernelvec.o kernel/plic.o kernel/virtio_disk.o 
riscv64-linux-gnu-objdump -S kernel/kernel > kernel/kernel.asm
riscv64-linux-gnu-objdump -t kernel/kernel | sed '1,/SYMBOL TABLE/d; s/ .* / /; /^$/d' > kernel/kernel.sym
qemu-system-riscv64 -machine virt -bios none -kernel kernel/kernel -m 128M -smp 1 -nographic -global virtio-mmio.force-legacy=false -drive file=fs.img,if=none,format=raw,id=x0 -device virtio-blk-device,drive=x0,bus=virtio-mmio-bus.0

xv6 kernel is booting

GRAPH 11 123 2 3
GRAPH 12 123 2 3
GRAPH 13 123 2 3
GRAPH 4 124 2 3
GRAPH 5 124 2 3
GRAPH 6 124 2 3
GRAPH 7 124 2 3
GRAPH 8 124 2 3
GRAPH 9 124 2 3
GRAPH 10 124 2 4
GRAPH 11 124 2 3
GRAPH 12 124 2 3
GRAPH 13 124 2 3
GRAPH 4 125 2 3
GRAPH 5 125 2 3
GRAPH 6 125 2 3
GRAPH 7 125 2 3
GRAPH 8 125 2 3
GRAPH 9 125 2 3
GRAPH 10 125 2 3
GRAPH 11 125 2 4
GRAPH 12 125 2 3
GRAPH 13 125 2 3
GRAPH 4 126 2 3
GRAPH 5 126 2 3
GRAPH 6 126 2 3
GRAPH 7 126 2 3
GRAPH 8 126 2 3
GRAPH 9 126 2 3
GRAPH 10 126 2 3
GRAPH 11 126 2 3
GRAPH 12 126 2 4
GRAPH 13 126 2 3
GRAPH 4 127 2 3
GRAPH 5 127 2 3
GRAPH 6 127 2 3
GRAPH 7 127 2 3
GRAPH 8 127 2 3
GRAPH 9 127 2 3
GRAPH 10 127 2 3
GRAPH 11 127 2 3
GRAPH 12 127 2 3
GRAPH 13 127 2 4
GRAPH 9 128 0 4
GRAPH 10 128 0 3
GRAPH 11 128 0 3
GRAPH 12 128 0 3
GRAPH 13 128 0 3
GRAPH 4 129 1 3
GRAPH 5 129 1 3
GRAPH 6 129 1 3
GRAPH 7 129 1 3
GRAPH 8 129 1 3
GRAPH 9 129 1 3
GRAPH 10 129 0 4
GRAPH 11 129 0 3
GRAPH 12 129 0 3
GRAPH 13 129 0 3
GRAPH 4 130 1 3
GRAPH 5 130 1 3
GRAPH 6 130 1 3
GRAPH 7 130 1 3
GRAPH 8 130 1 3
GRAPH 9 130 1 3
GRAPH 10 130 1 3
GRAPH 11 130 0 4
GRAPH 12 130 0 3
GRAPH 13 130 0 3
GRAPH 4 131 1 3
GRAPH 5 131 1 3
GRAPH 6 131 1 3
GRAPH 7 131 1 3
GRAPH 8 131 1 3
GRAPH 9 131 1 3
GRAPH 10 131 1 3
GRAPH 11 131 1 3
GRAPH 12 131 0 4
GRAPH 13 131 0 3
GRAPH 4 132 1 3
GRAPH 5 132 1 3
GRAPH 6 132 1 3
GRAPH 7 132 1 3
GRAPH 8 132 1 3
GRAPH 9 132 1 3
GRAPH 10 132 1 3
GRAPH 11 132 1 3
GRAPH 12 132 1 3
GRAPH 13 132 0 4
GRAPH 9 133 1 4
GRAPH 10 133 1 3
GRAPH 11 133 1 3
GRAPH 12 133 1 3
GRAPH 13 133 1 3
GRAPH 4 134 2 3
GRAPH 5 134 2 3
GRAPH 6 134 2 3
GRAPH 7 134 2 3
GRAPH 8 134 2 3
GRAPH 9 134 2 3
GRAPH 10 134 1 4
GRAPH 11 134 1 3
GRAPH 12 134 1 3
GRAPH 13 134 1 3
GRAPH 4 135 2 3
GRAPH 5 135 2 3
GRAPH 6 135 2 3
